@relation 'data0910-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Reorder-R2-last,1-weka.filters.unsupervised.attribute.Remove-R18'

@attribute games numeric
@attribute starts numeric
@attribute min numeric
@attribute fgm numeric
@attribute fgp numeric
@attribute 3pm numeric
@attribute 3pp numeric
@attribute ftm numeric
@attribute ftp numeric
@attribute off numeric
@attribute def numeric
@attribute ast numeric
@attribute stl numeric
@attribute to numeric
@attribute blk numeric
@attribute pf numeric
@attribute dq numeric
@attribute tf numeric
@attribute PS {SG,C,PF,PG,SF,NA}

@data
36,2,13.94,1.72,0.43,0.44,0.38,0.5,0.58,0.28,1.31,1.08,0.31,0.81,0.08,1.08,0,0.03,SF
69,4,13.2,1.99,0.46,0.42,0.31,0.67,0.82,0.49,2.03,0.49,0.36,0.7,0.38,1.65,0.01,0,SF
75,66,30.45,3.99,0.41,1.79,0.37,1.24,0.78,0.68,4.57,2.69,1.07,1.6,0.28,1.84,0,0,SF
70,69,37.91,6.76,0.47,0.46,0.39,3.6,0.76,1.87,5.44,2.04,0.94,1.91,0.89,1.84,0,0.01,SF
77,65,21.61,3.31,0.5,0.05,0.25,1.92,0.76,0.86,2.04,0.69,0.56,0.81,0.23,2.29,0,0,SF
82,82,35.44,4.55,0.48,0.8,0.32,1.39,0.77,1.6,3.57,3.95,0.73,2.16,0.67,2.67,0.04,0.01,PF
6,2,7.33,0.33,0.2,0.17,0.17,0,0,0.17,0.5,0.5,0.17,0.5,0,1.33,0,0,SF
9,0,5.56,0.22,0.2,0.11,0.14,0.11,0.25,0,0.33,0.89,0.44,0,0,0.22,0,0,PG
27,0,9.67,0.56,0.52,0,0,0.07,0.22,0.89,1.52,0.19,0.19,0.44,0.52,1.15,0.04,0,C
53,8,18.36,2.43,0.4,1.11,0.38,0.89,0.77,0.15,0.87,2.55,0.64,1.11,0,1.55,0,0,PG
15,0,7.27,0.6,0.45,0,0,0.33,0.42,1.07,1.8,0.13,0.2,0.4,0.13,1.4,0,0,SG
56,12,19.43,3.2,0.46,1.21,0.39,0.98,0.81,0.71,1.21,2,0.75,0.98,0.05,2.07,0,0,PG
67,38,25.9,3.81,0.45,0.21,0.26,1.99,0.85,0.67,2.28,1.39,0.82,1.45,0.28,1.51,0,0.01,SG
80,2,18.03,2.78,0.45,0.93,0.39,1.46,0.74,0.48,1.66,3.01,0.6,1.58,0.1,1.64,0,0,PG
82,1,24.28,2.74,0.46,1.46,0.46,1.27,0.75,1.21,2.22,1.4,0.99,0.83,0.2,1.98,0.01,0,SF
67,59,30.96,2.51,0.37,1.34,0.35,1.01,0.72,0.42,2.24,5.64,0.9,1.64,0.04,1.24,0,0,PG
78,78,31.22,7.19,0.52,0.03,0.18,3.47,0.72,2.83,7.26,3.15,0.58,1.79,1.5,1.95,0.01,0.05,C
67,15,22.09,3.42,0.41,1.12,0.32,1.99,0.84,0.37,3.15,1.54,0.57,1.07,0.24,1.57,0,0,SF
82,82,39.52,9.68,0.48,1.56,0.36,9.22,0.9,1.28,6.32,2.82,1.37,3.3,1.02,2.09,0.01,0.04,SF
76,1,18.24,2.5,0.42,0.84,0.4,0.8,0.87,0.43,1.66,0.97,0.26,0.96,0.07,0.95,0.01,0,PG
64,64,41.36,9.86,0.45,1.2,0.34,4.56,0.75,0.73,3.28,5.3,2.23,3.8,0.39,2.95,0.03,0.08,PG
12,0,5.33,0.42,0.33,0,0,0.17,0.4,0.5,0.67,0.17,0.08,0.08,0,0.58,0,0,C
79,5,16.68,2.22,0.45,0.72,0.34,0.58,0.75,0.75,1.2,0.61,0.43,0.25,0.22,1.58,0,0.03,SF
28,1,11.04,1.21,0.49,0,0,0.96,0.45,1.07,2.68,0.29,0.5,0.79,0.14,1.57,0,0.07,PF
72,72,37.24,7.4,0.46,0.5,0.26,4.83,0.75,0.92,4.36,5.72,1.51,3,0.35,2.83,0.03,0.06,PG
82,0,17.96,2.73,0.43,1.05,0.38,0.7,0.67,0.17,1.43,1.55,0.63,0.88,0.13,1.33,0,0.01,PG
80,80,33.05,4.85,0.46,0.75,0.38,1.65,0.76,0.66,2.95,5.58,1.54,2.1,0.28,2.15,0.01,0.03,PG
62,2,23.32,2.58,0.38,1.58,0.37,1.37,0.87,0.56,2.08,2.03,1,1.16,0.18,1.4,0,0.03,SG
49,5,8.35,1.06,0.55,0,0,0.49,0.42,0.67,1.16,0.31,0.12,0.49,0.39,1.59,0.02,0,C
46,7,15.37,1.76,0.44,0.7,0.39,0.17,0.53,0.13,1.41,0.93,0.22,0.46,0.13,0.72,0,0,SF
82,82,27.15,2.59,0.38,0.95,0.35,1.38,0.86,0.3,1.77,2.45,1.09,0.95,0.11,2.46,0.01,0.06,PG
81,81,28.89,4.9,0.42,0.95,0.36,2.75,0.83,0.3,2.06,4.4,1.01,2.86,0.02,1.21,0,0.01,PG
47,32,25.28,3.96,0.44,0.17,0.16,2.21,0.77,0.87,2.3,3.83,0.94,1.91,0.21,2.17,0.02,0.06,PG
16,3,15.81,1.38,0.48,0,0,0.31,0.56,2.13,2.94,1.31,0.19,0.88,0.25,2.81,0,0,C
